adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8,adc9,adc10,adc11,adc12,adc13,adc14,adc15,adc16,adc17,adc18,adc19,adc20,adc21,adc22,adc23,adc24,adc25,adc26,adc27,adc28,adc29,adc30,adc31,adc32,adc33,adc34,adc35,adc36,adc37,adc38,adc39,adc40,adc41,adc42,adc43,adc44,adc45,adc46,adc47,adc48,adc49,adc50,adc51,adc52,adc53,adc54,adc55,adc56,adc57,adc58,adc59,adc60,adc61,adc62,adc63,adc64,estimated_mass_g,avg_force,max_force
0.557509,0.47619,0.404884,0.326984,0.242979,0.181441,0.143834,0.140904,0.162637,0.134554,0.131868,0.124786,0.103785,0.202442,0.22735,0.27326,0.289133,0.238095,0.194628,0.153602,0.109402,0.076923,0.058852,0.069597,0.094505,0.077411,0.082295,0.086691,0.074237,0.182906,0.21221,0.261294,0.276435,0.22442,0.183883,0.144811,0.10232,0.072772,0.054945,0.065934,0.089866,0.073748,0.079853,0.084493,0.073748,0.179243,0.208791,0.257387,0.273016,0.221978,0.181929,0.14359,0.100611,0.072283,0.055678,0.066422,0.090354,0.072772,0.082051,0.082051,0.071551,0.175092,0.205861,0.255678,2000.0,0.162824,0.557509
0.496215,0.487912,0.384371,0.292308,0.236142,0.19536,0.155067,0.148474,0.144811,0.150183,0.153846,0.136752,0.117949,0.171429,0.199512,0.243468,0.239072,0.237851,0.175336,0.127717,0.100855,0.082051,0.062759,0.070574,0.070085,0.075702,0.097436,0.091575,0.082051,0.159219,0.19072,0.236142,0.232967,0.230525,0.169719,0.12381,0.09768,0.078632,0.060317,0.066422,0.066422,0.072527,0.094261,0.090354,0.08083,0.147253,0.174847,0.220513,0.217827,0.21514,0.156288,0.113065,0.0884,0.070085,0.054212,0.063736,0.063492,0.070085,0.092063,0.088889,0.078388,0.146032,0.175824,0.226618,1753.84,0.15219,0.496215
0.313797,0.254945,0.207082,0.170452,0.136996,0.09939,0.075702,0.078144,0.10525,0.103297,0.09768,0.0884,0.076923,0.156044,0.168742,0.194872,0.214652,0.175824,0.142125,0.114042,0.090354,0.064713,0.047375,0.056166,0.084982,0.086203,0.085226,0.078144,0.067643,0.152381,0.167277,0.194872,0.214408,0.174115,0.141148,0.113553,0.090354,0.064957,0.046886,0.055922,0.083761,0.084737,0.08254,0.076679,0.066667,0.148962,0.163858,0.189744,0.20928,0.16801,0.135775,0.109158,0.087179,0.061294,0.0442,0.052259,0.081319,0.078144,0.0779,0.072283,0.063248,0.147009,0.162149,0.18779,1018.15,0.120078,0.313797
0.128449,0.081807,0.045421,0.024664,0.015629,0.0,0.0,0.0,0.0,0.0,0.038584,0.0442,0.046886,0.174603,0.182173,0.175824,0.157021,0.104274,0.060073,0.037607,0.026618,0.0,0.0,0.0,0.0,0.0,0.042979,0.050061,0.052259,0.171917,0.179487,0.173382,0.156288,0.103297,0.060317,0.038584,0.027106,0.001221,0.0,0.0,0.0,0.0,0.041026,0.046642,0.048596,0.160195,0.168742,0.165812,0.148474,0.09768,0.056899,0.035409,0.02442,0.0,0.0,0.0,0.0,0.0,0.041514,0.046886,0.049328,0.15409,0.162393,0.159463,258.67,0.06263,0.182173
0.161661,0.096703,0.057143,0.031258,0.014164,0.0,0.0,0.0,0.0,0.0,0.063736,0.066178,0.060317,0.211477,0.224176,0.216606,0.194139,0.120879,0.073748,0.042979,0.022711,0.0,0.0,0.0,0.0,0.000733,0.06569,0.067155,0.061783,0.212454,0.22442,0.212698,0.188767,0.117705,0.071306,0.040781,0.021978,0.0,0.0,0.0,0.0,0.0,0.063248,0.066422,0.059829,0.209768,0.217094,0.206838,0.183639,0.113309,0.066911,0.038339,0.019536,0.0,0.0,0.0,0.0,0.000733,0.063736,0.065446,0.059585,0.199267,0.205372,0.198046,480.77,0.07782,0.22442
0.226129,0.140659,0.088889,0.055433,0.035653,0.002442,0.0,0.0,0.0,0.006349,0.066667,0.067155,0.060562,0.192918,0.177534,0.183639,0.169475,0.103053,0.062759,0.035409,0.020024,0.0,0.0,0.0,0.0,0.003419,0.06569,0.066422,0.059096,0.185836,0.173138,0.185348,0.173626,0.105495,0.06398,0.036874,0.020757,0.0,0.0,0.0,0.0,0.004396,0.066667,0.066911,0.060562,0.184371,0.175824,0.18779,0.176313,0.106716,0.06569,0.038095,0.021734,0.0,0.0,0.0,0.0,0.004396,0.066911,0.067399,0.060317,0.18779,0.175824,0.187302,460.53,0.074054,0.226129
0.086203,0.042247,0.014408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019292,0.021978,0.023687,0.151404,0.113797,0.110623,0.096947,0.050794,0.019536,0.003907,0.0,0.0,0.0,0.0,0.0,0.0,0.01978,0.022222,0.023443,0.144567,0.107204,0.105495,0.091575,0.047131,0.017094,0.001221,0.0,0.0,0.0,0.0,0.0,0.0,0.019536,0.022222,0.022955,0.150916,0.110623,0.10989,0.095726,0.051038,0.019536,0.003663,0.0,0.0,0.0,0.0,0.0,0.0,0.019536,0.022222,0.022466,0.147741,0.109646,0.108181,0.0,0.037038,0.151404
0.134066,0.101099,0.076923,0.062759,0.051038,0.019048,0.002442,0.0,0.0,0.0,0.002686,0.00464,0.010012,0.149206,0.124786,0.124786,0.121612,0.092796,0.071306,0.056166,0.046398,0.017094,0.0,0.0,0.0,0.0,0.000488,0.002686,0.005617,0.145543,0.120147,0.121123,0.115995,0.087668,0.068132,0.052991,0.043468,0.013675,0.0,0.0,0.0,0.0,0.0,0.000733,0.003175,0.144078,0.119902,0.119902,0.115751,0.088645,0.067643,0.052503,0.04591,0.018559,0.006593,0.0,0.0,0.0,0.0,0.002686,0.005861,0.149206,0.131136,0.132601,85.52,0.050801,0.149206
0.388523,0.320391,0.261783,0.20757,0.152381,0.083761,0.058364,0.066422,0.086691,0.095482,0.091575,0.081074,0.085226,0.207082,0.229304,0.265201,0.260806,0.217094,0.176557,0.140659,0.100122,0.042979,0.035409,0.049573,0.072772,0.08547,0.082051,0.076923,0.078632,0.210012,0.228816,0.263248,0.257387,0.220024,0.175824,0.136996,0.098413,0.048352,0.030037,0.048352,0.066422,0.075946,0.082051,0.087179,0.080586,0.203907,0.226374,0.254945,0.25641,0.216606,0.176557,0.136752,0.09768,0.048352,0.03663,0.047375,0.070818,0.082295,0.080586,0.081807,0.079365,0.203663,0.224176,0.262759,1368.48,0.140572,0.388523
0.389499,0.319658,0.262271,0.208791,0.147253,0.082784,0.058608,0.06569,0.083272,0.094261,0.09304,0.089866,0.085958,0.203419,0.229548,0.258364,0.255678,0.216606,0.175824,0.140171,0.099145,0.045177,0.035165,0.047375,0.07033,0.089866,0.081074,0.079853,0.096215,0.202686,0.223199,0.261538,0.257387,0.213675,0.175336,0.139194,0.098657,0.049573,0.038828,0.047131,0.070818,0.084737,0.080586,0.082051,0.080342,0.184127,0.225397,0.262027,0.255189,0.214896,0.175092,0.13602,0.09768,0.049573,0.034676,0.046886,0.071795,0.072039,0.082051,0.079365,0.082051,0.203175,0.226618,0.261783,1368.6,0.140171,0.389499
